relative_path,epsilon,true_index,true_label,clean_predicted_index,clean_predicted_label,adversarial_predicted_index,adversarial_predicted_label,clean_correct,attack_success,linf
Aircraft Carrier\Aircraft Carrier_2.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_20.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_21.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,0,Aircraft Carrier,True,False,0.050000012
Aircraft Carrier\Aircraft Carrier_22.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,8,Submarine,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_23.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_24.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_25.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,0,Aircraft Carrier,True,False,0.050000012
Aircraft Carrier\Aircraft Carrier_26.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,0,Aircraft Carrier,True,False,0.050000012
Aircraft Carrier\Aircraft Carrier_27.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,8,Submarine,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_28.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_29.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_3.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_30.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_31.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_32.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_33.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,0,Aircraft Carrier,True,False,0.050000012
Aircraft Carrier\Aircraft Carrier_34.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_35.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,0,Aircraft Carrier,True,False,0.050000012
Aircraft Carrier\Aircraft Carrier_36.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,4,Cruise,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_37.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_38.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_39.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,9,Tug,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_4.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_40.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_41.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,0,Aircraft Carrier,True,False,0.050000012
Aircraft Carrier\Aircraft Carrier_42.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,4,Cruise,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_43.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_44.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,9,Tug,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_5.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_6.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_7.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_8.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_9.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,8,Submarine,True,True,0.050000012
Bulkers\Bulkers_1.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_10.jpeg,0.05,1,Bulkers,1,Bulkers,3,Container Ship,True,True,0.050000012
Bulkers\Bulkers_1001.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1002.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1003.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1004.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1005.jpeg,0.05,1,Bulkers,1,Bulkers,3,Container Ship,True,True,0.050000012
Bulkers\Bulkers_1006.jpeg,0.05,1,Bulkers,1,Bulkers,0,Aircraft Carrier,True,True,0.050000012
Bulkers\Bulkers_1007.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1008.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1009.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1010.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1011.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1012.jpeg,0.05,1,Bulkers,1,Bulkers,7,Sailboat,True,True,0.050000012
Bulkers\Bulkers_1013.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1014.jpeg,0.05,1,Bulkers,1,Bulkers,3,Container Ship,True,True,0.050000012
Bulkers\Bulkers_1015.jpeg,0.05,1,Bulkers,1,Bulkers,2,Car Carrier,True,True,0.050000012
Bulkers\Bulkers_1016.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1017.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1018.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1019.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1020.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1021.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1022.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1023.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1024.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1025.jpeg,0.05,1,Bulkers,1,Bulkers,9,Tug,True,True,0.050000012
Bulkers\Bulkers_1026.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1027.jpeg,0.05,1,Bulkers,1,Bulkers,0,Aircraft Carrier,True,True,0.050000012
Bulkers\Bulkers_1028.jpeg,0.05,1,Bulkers,1,Bulkers,3,Container Ship,True,True,0.050000012
Bulkers\Bulkers_1029.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1030.jpeg,0.05,1,Bulkers,1,Bulkers,3,Container Ship,True,True,0.050000012
Bulkers\Bulkers_1031.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1032.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1033.jpeg,0.05,1,Bulkers,1,Bulkers,3,Container Ship,True,True,0.050000012
Bulkers\Bulkers_1034.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1035.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1036.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1037.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1038.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1039.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1040.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1041.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1042.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1043.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1044.jpeg,0.05,1,Bulkers,1,Bulkers,0,Aircraft Carrier,True,True,0.050000012
Bulkers\Bulkers_1045.jpeg,0.05,1,Bulkers,1,Bulkers,3,Container Ship,True,True,0.050000012
Bulkers\Bulkers_1046.jpeg,0.05,1,Bulkers,1,Bulkers,3,Container Ship,True,True,0.050000012
Bulkers\Bulkers_1047.jpeg,0.05,1,Bulkers,1,Bulkers,3,Container Ship,True,True,0.050000012
Bulkers\Bulkers_1049.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1050.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1051.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1052.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1053.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1054.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1055.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1056.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1057.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1058.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1059.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1060.jpeg,0.05,1,Bulkers,1,Bulkers,3,Container Ship,True,True,0.050000012
Bulkers\Bulkers_1061.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1062.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1063.jpeg,0.05,1,Bulkers,1,Bulkers,3,Container Ship,True,True,0.050000012
Bulkers\Bulkers_1064.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1065.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1066.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1067.jpeg,0.05,1,Bulkers,1,Bulkers,3,Container Ship,True,True,0.050000012
Bulkers\Bulkers_1068.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1069.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1070.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1071.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1072.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1073.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1074.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1075.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1076.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1077.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1078.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1079.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1080.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1081.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_1082.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1083.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_1084.jpeg,0.05,1,Bulkers,1,Bulkers,6,Recreational,True,True,0.050000012
Bulkers\Bulkers_11.jpeg,0.05,1,Bulkers,1,Bulkers,8,Submarine,True,True,0.050000012
Bulkers\Bulkers_12.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_13.jpeg,0.05,1,Bulkers,1,Bulkers,3,Container Ship,True,True,0.050000012
Bulkers\Bulkers_14.jpeg,0.05,1,Bulkers,9,Tug,6,Recreational,False,False,0.050000012
Bulkers\Bulkers_2.jpeg,0.05,1,Bulkers,1,Bulkers,0,Aircraft Carrier,True,True,0.050000012
Bulkers\Bulkers_3.jpeg,0.05,1,Bulkers,1,Bulkers,0,Aircraft Carrier,True,True,0.050000012
Bulkers\Bulkers_4.jpeg,0.05,1,Bulkers,1,Bulkers,5,DDG,True,True,0.050000012
Bulkers\Bulkers_5.jpeg,0.05,1,Bulkers,1,Bulkers,8,Submarine,True,True,0.050000012
Bulkers\Bulkers_6.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_7.jpeg,0.05,1,Bulkers,1,Bulkers,1,Bulkers,True,False,0.050000012
Bulkers\Bulkers_8.jpeg,0.05,1,Bulkers,1,Bulkers,8,Submarine,True,True,0.050000012
Bulkers\Bulkers_9.jpeg,0.05,1,Bulkers,1,Bulkers,8,Submarine,True,True,0.050000012
Car Carrier\Car Carrier_1.jpeg,0.05,2,Car Carrier,2,Car Carrier,3,Container Ship,True,True,0.050000012
Car Carrier\Car Carrier_10.jpeg,0.05,2,Car Carrier,2,Car Carrier,2,Car Carrier,True,False,0.050000012
Car Carrier\Car Carrier_1001.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_1002.jpeg,0.05,2,Car Carrier,1,Bulkers,1,Bulkers,False,False,0.050000012
Car Carrier\Car Carrier_1003.jpeg,0.05,2,Car Carrier,1,Bulkers,1,Bulkers,False,False,0.050000012
Car Carrier\Car Carrier_1004.jpeg,0.05,2,Car Carrier,2,Car Carrier,6,Recreational,True,True,0.050000012
Car Carrier\Car Carrier_1005.jpeg,0.05,2,Car Carrier,2,Car Carrier,6,Recreational,True,True,0.050000012
Car Carrier\Car Carrier_11.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_12.jpeg,0.05,2,Car Carrier,2,Car Carrier,2,Car Carrier,True,False,0.050000012
Car Carrier\Car Carrier_13.jpeg,0.05,2,Car Carrier,2,Car Carrier,8,Submarine,True,True,0.050000012
Car Carrier\Car Carrier_14.jpeg,0.05,2,Car Carrier,2,Car Carrier,2,Car Carrier,True,False,0.050000012
Car Carrier\Car Carrier_15.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_16.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_17.jpeg,0.05,2,Car Carrier,2,Car Carrier,2,Car Carrier,True,False,0.050000012
Car Carrier\Car Carrier_18.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_19.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_2.jpeg,0.05,2,Car Carrier,2,Car Carrier,6,Recreational,True,True,0.050000012
Car Carrier\Car Carrier_20.jpeg,0.05,2,Car Carrier,2,Car Carrier,2,Car Carrier,True,False,0.050000012
Car Carrier\Car Carrier_21.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_22.jpeg,0.05,2,Car Carrier,2,Car Carrier,3,Container Ship,True,True,0.050000012
Car Carrier\Car Carrier_23.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_24.jpeg,0.05,2,Car Carrier,2,Car Carrier,8,Submarine,True,True,0.050000012
Car Carrier\Car Carrier_25.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_26.jpeg,0.05,2,Car Carrier,2,Car Carrier,8,Submarine,True,True,0.050000012
Car Carrier\Car Carrier_27.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_28.jpeg,0.05,2,Car Carrier,2,Car Carrier,4,Cruise,True,True,0.050000012
Car Carrier\Car Carrier_29.jpeg,0.05,2,Car Carrier,2,Car Carrier,8,Submarine,True,True,0.050000012
Car Carrier\Car Carrier_3.jpeg,0.05,2,Car Carrier,2,Car Carrier,2,Car Carrier,True,False,0.050000012
Car Carrier\Car Carrier_30.jpeg,0.05,2,Car Carrier,2,Car Carrier,8,Submarine,True,True,0.050000012
Car Carrier\Car Carrier_31.jpeg,0.05,2,Car Carrier,2,Car Carrier,2,Car Carrier,True,False,0.050000012
Car Carrier\Car Carrier_32.jpeg,0.05,2,Car Carrier,2,Car Carrier,2,Car Carrier,True,False,0.050000012
Car Carrier\Car Carrier_33.jpeg,0.05,2,Car Carrier,2,Car Carrier,6,Recreational,True,True,0.050000012
Car Carrier\Car Carrier_34.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_35.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_36.jpeg,0.05,2,Car Carrier,2,Car Carrier,2,Car Carrier,True,False,0.050000012
Car Carrier\Car Carrier_37.jpeg,0.05,2,Car Carrier,2,Car Carrier,8,Submarine,True,True,0.050000012
Car Carrier\Car Carrier_38.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_39.jpeg,0.05,2,Car Carrier,2,Car Carrier,2,Car Carrier,True,False,0.050000012
Car Carrier\Car Carrier_4.jpeg,0.05,2,Car Carrier,2,Car Carrier,3,Container Ship,True,True,0.050000012
Car Carrier\Car Carrier_40.jpeg,0.05,2,Car Carrier,2,Car Carrier,4,Cruise,True,True,0.050000012
Car Carrier\Car Carrier_41.jpeg,0.05,2,Car Carrier,2,Car Carrier,6,Recreational,True,True,0.050000012
Car Carrier\Car Carrier_42.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_43.jpeg,0.05,2,Car Carrier,2,Car Carrier,2,Car Carrier,True,False,0.050000012
Car Carrier\Car Carrier_44.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_45.jpeg,0.05,2,Car Carrier,2,Car Carrier,7,Sailboat,True,True,0.050000012
Car Carrier\Car Carrier_46.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_47.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_48.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_49.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_5.jpeg,0.05,2,Car Carrier,2,Car Carrier,3,Container Ship,True,True,0.050000012
Car Carrier\Car Carrier_50.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_51.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_52.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_53.jpeg,0.05,2,Car Carrier,2,Car Carrier,8,Submarine,True,True,0.050000012
Car Carrier\Car Carrier_54.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_55.jpeg,0.05,2,Car Carrier,2,Car Carrier,3,Container Ship,True,True,0.050000012
Car Carrier\Car Carrier_56.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_57.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_58.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_59.jpeg,0.05,2,Car Carrier,2,Car Carrier,2,Car Carrier,True,False,0.050000012
Car Carrier\Car Carrier_6.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_60.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_61.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_62.jpeg,0.05,2,Car Carrier,2,Car Carrier,1,Bulkers,True,True,0.050000012
Car Carrier\Car Carrier_63.jpeg,0.05,2,Car Carrier,2,Car Carrier,2,Car Carrier,True,False,0.050000012
